Date,City,Temperature,Min_Temperature,Max_Temperature,Rainfall,Humidity,Wind_Speed,Pressure,Weather_Condition
2024-07-23,Chennai,36.78,31.0,41.73,34.73,96.66,6.52,1006.45,Rainy
2023-09-29,Chennai,30.31,24.82,37.59,23.78,88.82,19.53,999.09,Rainy
2022-08-28,Mumbai,38.92,33.73,44.97,19.74,71.93,2.39,1014.12,Rainy
2024-03-20,Pune,33.11,28.12,39.27,0.98,45.21,7.31,1011.37,Clear
2023-09-09,Chennai,28.92,24.02,34.34,3.29,80.88,16.38,1017.74,Cloudy
2023-12-15,Chennai,22.84,17.65,29.16,0.45,64.04,16.12,1009.26,Clear
2023-10-14,Chennai,24.73,19.74,31.27,0.14,67.02,10.06,1010.73,Clear
2024-03-03,Hyderabad,25.86,19.92,31.4,4.78,65.45,14.77,1017.89,Clear
2022-03-21,Delhi,26.82,22.49,33.41,1.38,67.94,7.47,1007.77,Clear
2022-08-07,Delhi,30.46,24.66,37.88,11.66,80.81,15.17,1016.97,Rainy
2022-06-09,Chennai,43.85,35.29,49.05,8.96,39.69,2.97,1011.6,Hot
2022-02-04,Chennai,24.55,17.37,31.64,0.82,72.32,8.48,1005.57,Clear
2023-12-26,Pune,21.8,16.04,27.63,0.43,,11.16,1007.38,Clear
2022-11-17,Pune,23.04,18.62,27.68,0.74,80.45,15.55,1004.09,Cloudy
2022-09-07,Chennai,35.61,29.41,42.59,10.96,66.99,15.47,1009.67,Rainy
2023-09-17,Chennai,36.24,29.74,44.07,17.65,80.8,13.59,1007.16,Rainy
2024-08-16,Chennai,31.45,24.53,38.61,9.77,58.8,10.81,1013.12,Clear
2023-03-08,Delhi,29.84,24.64,34.35,2.76,69.4,13.33,1012.51,Clear
2023-02-13,Delhi,21.07,15.25,28.34,1.75,68.96,10.27,1018.54,Clear
2022-03-18,Chennai,30.37,25.46,37.01,3.33,64.41,11.62,1016.4,Clear
2024-12-13,Bengaluru,21.18,13.35,28.96,1.85,,15.83,1010.63,Clear
2024-10-09,Chennai,29.04,20.63,33.53,0.2,57.21,7.63,1009.41,Clear
2022-08-21,Bengaluru,34.24,29.18,41.48,4.13,57.36,10.86,1007.68,Clear
2024-10-18,Pune,21.69,16.76,27.07,1.0,86.16,8.1,1015.79,Cloudy
2022-02-05,Delhi,18.73,11.85,24.94,3.74,81.26,7.14,999.28,Cloudy
2024-04-05,Delhi,34.1,27.82,38.81,2.74,63.75,18.46,1016.97,Clear
2023-01-03,Delhi,15.61,10.78,21.98,2.12,88.15,4.77,1012.17,Cold
2024-08-18,Mumbai,31.79,23.87,38.84,5.4,67.55,3.86,1010.19,Clear
2022-03-07,Hyderabad,30.26,25.25,35.91,1.11,52.64,10.22,1016.64,Clear
2023-05-22,Hyderabad,38.67,31.52,43.16,0.09,47.15,10.66,1007.59,Hot
2022-08-14,Delhi,35.68,31.21,42.62,4.07,59.0,7.78,1013.62,Hot
2024-04-10,Pune,33.28,27.39,39.92,2.75,54.21,9.55,1010.31,Clear
2024-02-02,Pune,21.45,12.65,28.01,3.17,89.92,14.7,1019.58,Cloudy
2023-09-23,Pune,28.46,23.53,35.01,13.54,80.91,11.76,1012.92,Rainy
2022-03-29,Pune,28.8,20.82,35.14,1.71,57.31,16.97,1020.09,Clear
2023-04-11,Mumbai,36.46,32.08,41.14,0.09,48.78,15.91,1001.47,Hot
2024-10-04,Delhi,20.96,15.67,28.32,2.19,70.65,5.65,1011.97,Clear
2022-06-08,Delhi,36.04,27.32,40.28,21.63,87.45,15.4,1007.67,Rainy
2024-07-24,Pune,37.41,28.9,42.36,3.3,50.05,9.33,1012.17,Hot
2024-07-02,Bengaluru,32.43,23.76,37.98,14.33,72.31,13.88,1011.44,Rainy
2024-08-31,Delhi,29.76,21.92,36.48,17.44,62.51,11.13,1009.25,Rainy
2023-09-04,Mumbai,29.09,23.91,35.69,33.45,97.79,15.17,1009.15,Rainy
2023-05-19,Mumbai,40.21,33.99,46.91,3.63,47.82,13.11,1011.89,Hot
2023-05-01,Delhi,35.5,27.49,39.7,2.5,69.98,14.12,1004.13,Hot
2024-12-23,Bengaluru,17.86,9.25,25.83,0.61,73.16,15.03,1012.13,Cold
2024-08-20,Delhi,30.76,23.38,38.02,42.62,98.0,13.36,1010.85,Heavy Rain
2024-02-07,Bengaluru,25.22,16.66,31.22,0.24,63.34,9.53,1015.77,Clear
2024-05-31,Bengaluru,28.66,19.69,34.01,0.23,67.48,4.98,1012.65,Clear
2022-02-01,Mumbai,23.81,19.55,29.93,1.63,78.77,15.32,1012.08,Clear
2024-09-23,Bengaluru,27.91,22.05,35.54,4.95,78.9,11.3,1008.76,Clear
2024-04-25,Hyderabad,30.94,26.6,38.22,0.28,,18.8,1002.41,Clear
2023-06-09,Hyderabad,38.89,30.22,43.26,6.46,45.21,14.66,1016.09,Hot
2023-06-01,Chennai,36.18,32.11,42.71,4.21,38.93,10.96,1007.07,Hot
2023-01-16,Delhi,24.95,20.14,29.96,0.61,64.66,9.5,1012.77,Clear
2024-11-08,Mumbai,26.57,20.52,34.15,0.94,67.15,13.37,1013.48,Clear
2024-09-25,Chennai,28.56,22.15,35.44,0.84,67.44,7.84,1011.56,Clear
2022-04-07,Mumbai,28.74,23.4,35.24,3.93,50.1,12.84,1011.52,Clear
2022-04-07,Pune,29.15,23.64,35.6,0.38,63.05,13.22,1006.71,Clear
2022-06-15,Pune,33.32,28.68,38.28,11.36,60.99,8.43,1020.67,Rainy
2022-01-18,Mumbai,23.37,15.98,27.44,0.72,73.06,7.11,1014.68,Clear
2022-02-23,Pune,25.23,17.16,31.66,1.11,69.15,8.53,1012.07,Clear
2024-05-03,Bengaluru,32.97,25.02,39.09,0.5,59.27,11.59,1018.29,Clear
2022-05-22,Delhi,36.47,29.54,41.32,1.21,48.65,15.14,1006.62,Hot
2024-09-23,Mumbai,27.4,21.37,32.33,7.59,73.05,6.31,1014.31,Clear
2023-03-22,Bengaluru,30.74,26.02,37.96,3.36,56.26,8.64,1008.55,Clear
2024-07-21,Hyderabad,31.56,26.92,38.39,20.58,77.48,13.74,1010.3,Rainy
2024-10-16,Chennai,26.32,19.47,30.61,0.4,66.55,10.88,1003.06,Clear
2023-12-21,Chennai,22.71,15.65,30.33,0.34,66.89,16.56,1016.32,Clear
2023-11-02,Hyderabad,19.84,11.69,26.15,0.93,80.86,2.0,1018.11,Cloudy
2023-12-13,Pune,22.99,17.38,29.27,0.67,66.13,13.4,1013.01,Clear
2023-09-08,Delhi,22.62,17.24,30.45,4.6,59.48,2.65,1014.41,Clear
2022-03-06,Bengaluru,25.37,20.54,30.5,2.54,71.3,8.97,1012.74,Clear
2023-05-19,Pune,40.12,35.39,47.19,0.08,46.46,10.01,1015.57,Hot
2022-06-17,Pune,36.05,27.48,43.92,18.22,68.91,9.55,1002.1,Rainy
2024-01-10,Pune,18.33,11.28,23.01,0.46,71.21,15.63,1017.45,Clear
2024-05-18,Hyderabad,35.44,29.94,41.21,1.2,43.47,7.23,1007.73,Hot
2022-08-21,Pune,34.59,27.66,41.7,14.7,77.26,13.16,1018.58,Rainy
2022-06-17,Bengaluru,37.64,32.78,42.13,3.91,55.08,15.71,1009.64,Hot
2023-03-04,Chennai,34.56,29.44,40.51,4.13,53.34,12.04,1004.45,Clear
2023-06-18,Chennai,39.05,30.79,46.84,48.62,98.0,7.23,1011.42,Heavy Rain
2023-05-27,Mumbai,34.7,28.63,38.86,1.12,55.01,10.41,1006.08,Clear
2022-12-18,Bengaluru,16.42,12.41,23.26,0.76,91.29,13.74,1014.62,Cold
2023-08-17,Hyderabad,32.64,27.9,37.19,13.02,71.88,3.03,1003.68,Rainy
2024-11-08,Pune,13.72,8.99,21.19,3.07,81.57,6.96,1014.01,Cold
2023-04-18,Mumbai,33.41,27.31,38.84,6.85,54.41,13.05,1024.85,Clear
2023-03-29,Bengaluru,27.38,18.96,31.44,1.38,62.3,10.09,1010.03,Clear
2022-11-02,Hyderabad,18.42,13.79,23.14,0.98,80.42,15.93,1015.33,Cloudy
2024-10-29,Bengaluru,26.02,17.42,31.57,2.02,62.29,5.7,1005.81,Clear
2022-02-13,Hyderabad,24.52,16.38,30.28,1.65,55.27,16.79,1012.98,Clear
2023-10-09,Hyderabad,23.61,15.03,28.06,1.9,85.16,11.69,1014.18,Cloudy
2022-11-21,Pune,22.57,13.9,27.45,2.13,78.03,9.67,1017.64,Clear
2022-06-03,Chennai,40.18,33.16,47.39,3.51,48.89,7.94,1008.09,Hot
2022-09-05,Bengaluru,28.19,20.81,32.3,12.53,81.97,18.87,1013.46,Rainy
2024-10-02,Mumbai,26.01,20.26,30.72,0.7,79.42,14.23,1011.56,Clear
2024-04-07,Chennai,34.74,29.03,42.41,1.36,50.57,14.29,1005.06,Clear
2022-06-23,Chennai,38.97,33.54,44.39,8.91,67.46,10.69,1012.47,Hot
2022-05-30,Bengaluru,36.42,29.31,41.09,5.63,61.55,5.75,1008.32,Hot
2023-10-06,Bengaluru,25.19,19.55,30.07,2.3,73.38,9.38,1009.39,Clear
2022-03-01,Hyderabad,27.37,18.7,32.03,0.99,54.7,4.86,1018.16,Clear
