Order_ID,Order_Date,Customer_ID,Product,Category,Region,Salesperson,Sales_Channel,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Sales,Cost,Profit,Payment_Method,Order_Status,Year,Month_Number,Month,Quarter
ORD10001,2023-01-01,CUST1097,Tablet,Electronics,South,Arjun,Retail Store,3,28983.22,0.1,86949.66,8694.97,78254.69,62603.75,15650.94,UPI,Completed,2023,1,January,Q1
ORD10002,2023-01-01,CUST1069,Laptop,Electronics,South,Pooja,Distributor,10,60420.65,0.05,604206.5,30210.32,573996.18,470676.87,103319.31,Net Banking,Completed,2023,1,January,Q1
ORD10003,2023-01-02,CUST1106,Printer,Office Equipment,West,Vikram,Online,3,15322.56,0.1,45967.68,4596.77,41370.91,34337.86,7033.05,Net Banking,Completed,2023,1,January,Q1
ORD10004,2023-01-03,CUST1077,Headphones,Accessories,North,Sneha,Distributor,2,3429.33,0.1,6858.66,685.87,6172.79,4629.59,1543.2,UPI,Completed,2023,1,January,Q1
ORD10005,2023-01-04,CUST1159,Tablet,Electronics,Central,Arjun,Retail Store,7,27158.93,0.05,190112.51,9505.63,180606.88,144485.5,36121.38,Cash,Completed,2023,1,January,Q1
ORD10006,2023-01-05,CUST1130,Laptop,Electronics,West,Rahul,Retail Store,7,64114.19,0.05,448799.33,22439.97,426359.36,349614.68,76744.68,Credit Card,Completed,2023,1,January,Q1
ORD10007,2023-01-06,CUST1052,Tablet,Electronics,Central,Neha,Retail Store,5,27914.4,0.15,139572.0,20935.8,118636.2,94908.96,23727.24,UPI,Completed,2023,1,January,Q1
ORD10008,2023-01-07,CUST1104,Office Chair,Furniture,South,Rahul,Online,2,12709.19,0.1,25418.38,2541.84,22876.54,17386.17,5490.37,Credit Card,Completed,2023,1,January,Q1
ORD10009,2023-01-08,CUST1039,Printer,Office Equipment,South,Neha,Distributor,7,14232.81,0.15,99629.67,14944.45,84685.22,70288.73,14396.49,Debit Card,Completed,2023,1,January,Q1
ORD10010,2023-01-09,CUST1105,Monitor,Electronics,West,Amit,Retail Store,5,16606.45,0.1,83032.25,8303.22,74729.03,58288.64,16440.39,Credit Card,Completed,2023,1,January,Q1
ORD10011,2023-01-10,CUST1094,Laptop,Electronics,Central,Priya,Online,4,63845.09,0.1,255380.36,25538.04,229842.32,188470.7,41371.62,Net Banking,Completed,2023,1,January,Q1
ORD10012,2023-01-11,CUST1109,Monitor,Electronics,Central,Vikram,Online,4,19426.63,0.1,77706.52,7770.65,69935.87,54549.98,15385.89,UPI,Completed,2023,1,January,Q1
ORD10013,2023-01-11,CUST1078,Desk,Furniture,North,Arjun,Distributor,9,17619.45,0.15,158575.05,23786.26,134788.79,106483.14,28305.65,Credit Card,Completed,2023,1,January,Q1
ORD10014,2023-01-12,CUST1124,Headphones,Accessories,South,Pooja,Retail Store,9,3328.18,0.05,29953.62,1497.68,28455.94,21341.96,7113.98,Net Banking,Completed,2023,1,January,Q1
ORD10015,2023-01-13,CUST1004,Smartphone,Electronics,South,Amit,Distributor,8,39475.15,0.15,315801.2,47370.18,268431.02,225482.06,42948.96,Credit Card,Completed,2023,1,January,Q1
ORD10016,2023-01-14,CUST1019,Tablet,Electronics,West,Arjun,Distributor,6,29815.93,0.2,178895.58,35779.12,143116.46,114493.17,28623.29,Credit Card,Completed,2023,1,January,Q1
